,chemical_formula,atomic_lumo(B),atomic_ionization_potential(A),atomic_homo(B),atomic_electron_affinity(A),atomic_rp_max(A),atomic_rs_max(B),atomic_rp_max(B),atomic_electron_affinity(B),atomic_lumo(A),atomic_rd_max(A),atomic_rs_max(A),atomic_ionization_potential(B),atomic_homo(A),atomic_rd_max(B),json_file_path,frame_number,energy,target
11,BN,3.057,-8.19,-7.239,-0.1074,0.83,0.54,0.51,-1.8675,2.248,1.95,0.81,-13.5852,-3.715,1.54,/parsed/prod-022/FhiAimsParser2.0.0-2-gf9335c4/RWApItBGtGUDsfMVlHKqrjUQ4rShT/Pr6E85ezTMa4WX-GTFoms6w0Rb0hT.json,0,-1.72513649432e-16,1.7120803924
12,BP,0.183,-8.19,-5.596,-0.1074,0.83,0.83,0.97,-1.92,2.248,1.95,0.81,-9.7506,-3.715,1.77,/parsed/prod-022/FhiAimsParser2.0.0-2-gf9335c4/RWApItBGtGUDsfMVlHKqrjUQ4rShT/PHfNgOoPEHjzs9iOh900vIUv-GVJl.json,0,-7.98090917603e-16,1.01922523951
13,BSb,0.105,-8.19,-4.991,-0.1074,0.83,1.0,1.23,-1.8467,2.248,1.95,0.81,-8.4683,-3.715,2.06,/parsed/prod-022/FhiAimsParser2.0.0-2-gf9335c4/RWApItBGtGUDsfMVlHKqrjUQ4rShT/PNavIaZhgwAeZM0-QhWHe_38iUgEF.json,0,-1.43689922662e-14,0.580849159
14,BaO,2.541,-5.5157,-9.197,0.278,2.63,0.46,0.43,-3.0059,-2.129,1.35,2.15,-16.4332,-3.346,2.22,/parsed/prod-022/FhiAimsParser2.0.0-2-gf9335c4/RWApItBGtGUDsfMVlHKqrjUQ4rShT/PQB49fu8BN3kua7uLKQLlT5dWdHi0.json,0,-1.81854783776e-14,-0.0929985610081
15,BaS,0.642,-5.5157,-7.106,0.278,2.63,0.74,0.85,-2.8449,-2.129,1.35,2.15,-11.7951,-3.346,2.37,/parsed/prod-022/FhiAimsParser2.0.0-2-gf9335c4/RWApItBGtGUDsfMVlHKqrjUQ4rShT/PYOw5h3ttt0tMyUPOvqDPc6yArPTy.json,0,-1.88913083262e-14,-0.319762453999
16,BaSe,1.316,-5.5157,-6.654,0.278,2.63,0.8,0.95,-2.751,-2.129,1.35,2.15,-10.946,-3.346,2.18,/parsed/prod-022/FhiAimsParser2.0.0-2-gf9335c4/RWApItBGtGUDsfMVlHKqrjUQ4rShT/PudM2fYFckG7O5R4BJqg04tK_l1bd.json,0,-2.33464006336e-14,-0.343445160476
17,BaTe,0.099,-5.5157,-6.109,0.278,2.63,0.94,1.14,-2.666,-2.129,1.35,2.15,-9.8667,-3.346,1.83,/parsed/prod-022/FhiAimsParser2.0.0-2-gf9335c4/RWApItBGtGUDsfMVlHKqrjUQ4rShT/PN0Q_OXA7e5yO6EkDKkOpGHM6hyCj.json,0,-3.3037560155e-14,-0.375386838509
18,BeO,2.541,-9.4594,-9.197,0.6305,1.21,0.46,0.43,-3.0059,-2.098,2.88,1.08,-16.4332,-5.6,2.22,/parsed/prod-022/FhiAimsParser2.0.0-2-gf9335c4/RWApItBGtGUDsfMVlHKqrjUQ4rShT/PEYkIqgUpWfoq4Tcsy8_bFVUs9mko.json,0,-1.95326450069e-16,0.691837630395
19,BeS,0.642,-9.4594,-7.106,0.6305,1.21,0.74,0.85,-2.8449,-2.098,2.88,1.08,-11.7951,-5.6,2.37,/parsed/prod-022/FhiAimsParser2.0.0-2-gf9335c4/RWApItBGtGUDsfMVlHKqrjUQ4rShT/PX39jEfgLeDPddrkPuTvUfVv4_thl.json,0,-9.00907435553e-16,0.50632771345
20,BeSe,1.316,-9.4594,-6.654,0.6305,1.21,0.8,0.95,-2.751,-2.098,2.88,1.08,-10.946,-5.6,2.18,/parsed/prod-022/FhiAimsParser2.0.0-2-gf9335c4/RWApItBGtGUDsfMVlHKqrjUQ4rShT/P0tj3NYHfrit7NB0ewfG-fIjRWuJD.json,0,-5.35596306959e-15,0.494940480802
21,BeTe,0.099,-9.4594,-6.109,0.6305,1.21,0.94,1.14,-2.666,-2.098,2.88,1.08,-9.8667,-5.6,1.83,/parsed/prod-022/FhiAimsParser2.0.0-2-gf9335c4/RWApItBGtGUDsfMVlHKqrjUQ4rShT/PvXy3VrpadhZLQAwphJE6GVB_0OUp.json,0,-1.50470940236e-14,0.468585946495
22,BrCs,0.708,-4.0062,-8.001,-0.5696,3.16,0.75,0.88,-3.7393,-0.548,1.97,2.46,-12.6496,-2.22,1.87,/parsed/prod-022/FhiAimsParser2.0.0-2-gf9335c4/RWApItBGtGUDsfMVlHKqrjUQ4rShT/PqmzGiDuYJ-Q8j-KfLDlQBvWb2Gjt.json,0,-2.2951891015e-14,-0.155867314986
23,BrCu,0.708,-8.3888,-8.001,-1.6385,1.68,0.75,0.88,-3.7393,-0.641,2.58,1.2,-12.6496,-4.856,1.87,/parsed/prod-022/FhiAimsParser2.0.0-2-gf9335c4/RWApItBGtGUDsfMVlHKqrjUQ4rShT/PcYC-NeMnx_goUeYg8PmaNVo0chDc.json,0,-9.33170572672e-15,0.152442651499
24,BrK,0.708,-4.4332,-8.001,-0.6213,2.44,0.75,0.88,-3.7393,-0.697,1.79,2.13,-12.6496,-2.426,1.87,/parsed/prod-022/FhiAimsParser2.0.0-2-gf9335c4/RWApItBGtGUDsfMVlHKqrjUQ4rShT/PeXgyF2iElVtNWSX9xZhroKK8nJJ4.json,0,-7.02494031268e-15,-0.16617597696
25,BrLi,0.708,-5.3291,-8.001,-0.6981,2.0,0.75,0.88,-3.7393,-0.978,6.93,1.65,-12.6496,-2.874,1.87,/parsed/prod-022/FhiAimsParser2.0.0-2-gf9335c4/RWApItBGtGUDsfMVlHKqrjUQ4rShT/Pp4wUDDucIEdS9euDT89Y6xQA_JPq.json,0,-5.72910397737e-15,-0.0327462154026
26,BrNa,0.708,-5.2231,-8.001,-0.7157,2.6,0.75,0.88,-3.7393,-0.718,6.57,1.71,-12.6496,-2.819,1.87,/parsed/prod-022/FhiAimsParser2.0.0-2-gf9335c4/RWApItBGtGUDsfMVlHKqrjUQ4rShT/P51AKUeSNYXrRBK_-uc8y1-bCfUNg.json,0,-6.06570079182e-15,-0.126428737603
27,BrRb,0.708,-4.2889,-8.001,-0.5904,3.2,0.75,0.88,-3.7393,-0.705,1.96,2.24,-12.6496,-2.36,1.87,/parsed/prod-022/FhiAimsParser2.0.0-2-gf9335c4/RWApItBGtGUDsfMVlHKqrjUQ4rShT/Pd5Tx2nPg7dFY-jys9XwKne6OQtKX.json,0,-1.22524359722e-14,-0.163820544008
28,C2,1.992,-10.8517,-5.416,-0.8724,0.63,0.64,0.63,-0.8724,1.992,1.63,0.64,-10.8517,-5.416,1.63,/parsed/prod-022/FhiAimsParser2.0.0-2-gf9335c4/RWApItBGtGUDsfMVlHKqrjUQ4rShT/PM3KjHYJjTA26va4uYXD8homH7pUm.json,0,-1.64892404051e-16,2.62860384112
29,CGe,1.992,-7.567,-5.416,-0.949,1.16,0.64,0.63,-0.8724,2.175,2.37,0.92,-10.8517,-4.046,1.63,/parsed/prod-022/FhiAimsParser2.0.0-2-gf9335c4/RWApItBGtGUDsfMVlHKqrjUQ4rShT/PMxYGoRCMDXQWrNytWJHc-vUgRKTT.json,0,-4.67740892755e-15,0.811442942551
30,CSi,1.992,-7.7577,-5.416,-0.993,1.13,0.64,0.63,-0.8724,0.44,1.89,0.94,-10.8517,-4.163,1.63,/parsed/prod-022/FhiAimsParser2.0.0-2-gf9335c4/RWApItBGtGUDsfMVlHKqrjUQ4rShT/Pu9uI6ldU3ZVgwfmy-Um0D7IBxTCK.json,0,-7.13281775685e-16,0.669023778647
31,CSn,1.992,-7.0428,-5.416,-1.0392,1.34,0.64,0.63,-0.8724,0.008,2.03,1.06,-10.8517,-3.866,1.63,/parsed/prod-022/FhiAimsParser2.0.0-2-gf9335c4/RWApItBGtGUDsfMVlHKqrjUQ4rShT/PWNXU92VwL7KkuoxItglRiuifcOnk.json,0,-1.37180750595e-14,0.453538008996
32,CaO,2.541,-6.428,-9.197,0.3039,2.32,0.46,0.43,-3.0059,-2.133,0.68,1.76,-16.4332,-3.864,2.22,/parsed/prod-022/FhiAimsParser2.0.0-2-gf9335c4/RWApItBGtGUDsfMVlHKqrjUQ4rShT/P5q6OPnbkCI9OZnxRMmigkwjECTEe.json,0,-1.64654109851e-15,-0.2652190617
33,CaS,0.642,-6.428,-7.106,0.3039,2.32,0.74,0.85,-2.8449,-2.133,0.68,1.76,-11.7951,-3.864,2.37,/parsed/prod-022/FhiAimsParser2.0.0-2-gf9335c4/RWApItBGtGUDsfMVlHKqrjUQ4rShT/PxJnNtspUIcqGhneVuSJKposdVxH_.json,0,-2.35230722907e-15,-0.369133222901
34,CaSe,1.316,-6.428,-6.654,0.3039,2.32,0.8,0.95,-2.751,-2.133,0.68,1.76,-10.946,-3.864,2.18,/parsed/prod-022/FhiAimsParser2.0.0-2-gf9335c4/RWApItBGtGUDsfMVlHKqrjUQ4rShT/PWkXOKoiw0iAE585QkElUZNCYOqYI.json,0,-6.8073847078e-15,-0.360797762149
35,CaTe,0.099,-6.428,-6.109,0.3039,2.32,0.94,1.14,-2.666,-2.133,0.68,1.76,-9.8667,-3.864,1.83,/parsed/prod-022/FhiAimsParser2.0.0-2-gf9335c4/RWApItBGtGUDsfMVlHKqrjUQ4rShT/PKu0vasdF5E6n3C3QydIjCtGOIla4.json,0,-1.6498525616e-14,-0.350456306001
36,CdO,2.541,-9.5814,-9.197,0.8387,1.74,0.46,0.43,-3.0059,-1.309,2.6,1.23,-16.4332,-5.952,2.22,/parsed/prod-022/FhiAimsParser2.0.0-2-gf9335c4/RWApItBGtGUDsfMVlHKqrjUQ4rShT/PZuBrsUzsdX__rAeKn_JQgfX-YGoo.json,0,-1.24994081254e-14,-0.0841613645002
37,CdS,0.642,-9.5814,-7.106,0.8387,1.74,0.74,0.85,-2.8449,-1.309,2.6,1.23,-11.7951,-5.952,2.37,/parsed/prod-022/FhiAimsParser2.0.0-2-gf9335c4/RWApItBGtGUDsfMVlHKqrjUQ4rShT/PdHoVKHCES7XtBpTVk0eihbo0kqmR.json,0,-1.32052418789e-14,0.0726728014959
38,CdSe,1.316,-9.5814,-6.654,0.8387,1.74,0.8,0.95,-2.751,-1.309,2.6,1.23,-10.946,-5.952,2.18,/parsed/prod-022/FhiAimsParser2.0.0-2-gf9335c4/RWApItBGtGUDsfMVlHKqrjUQ4rShT/Pst86UVhV07OfKDhwlp0PNxiMtXki.json,0,-1.7660335799e-14,0.0835719555017
39,CdTe,0.099,-9.5814,-6.109,0.8387,1.74,0.94,1.14,-2.666,-1.309,2.6,1.23,-9.8667,-5.952,1.83,/parsed/prod-022/FhiAimsParser2.0.0-2-gf9335c4/RWApItBGtGUDsfMVlHKqrjUQ4rShT/POIYfYCEIron9yzowfHWhVea-VEFW.json,0,-2.73515112855e-14,0.114539540988
40,ClCs,0.574,-4.0062,-8.7,-0.5696,3.16,0.68,0.76,-3.9708,-0.548,1.97,2.46,-13.9018,-2.22,1.67,/parsed/prod-022/FhiAimsParser2.0.0-2-gf9335c4/RWApItBGtGUDsfMVlHKqrjUQ4rShT/PyukHM_doowQLr1Ipwa8feMxPVmI2.json,0,-1.8244085879e-14,-0.150346168999
41,ClCu,0.574,-8.3888,-8.7,-1.6385,1.68,0.68,0.76,-3.9708,-0.641,2.58,1.2,-13.9018,-4.856,1.67,/parsed/prod-022/FhiAimsParser2.0.0-2-gf9335c4/RWApItBGtGUDsfMVlHKqrjUQ4rShT/PyizrsR40QyxopYKKk2jUtl7nElXJ.json,0,-4.62389835843e-15,0.1562587252
42,ClK,0.574,-4.4332,-8.7,-0.6213,2.44,0.68,0.76,-3.9708,-0.697,1.79,2.13,-13.9018,-2.426,1.67,/parsed/prod-022/FhiAimsParser2.0.0-2-gf9335c4/RWApItBGtGUDsfMVlHKqrjUQ4rShT/PGRvHpDj8bRbzvIL0c9yfOmeZjfah.json,0,-2.31713908795e-15,-0.16446069285
43,ClLi,0.574,-5.3291,-8.7,-0.6981,2.0,0.68,0.76,-3.9708,-0.978,6.93,1.65,-13.9018,-2.874,1.67,/parsed/prod-022/FhiAimsParser2.0.0-2-gf9335c4/RWApItBGtGUDsfMVlHKqrjUQ4rShT/P-M1B6jU_t-kPPKkoFU9kZkEbx332.json,0,-1.02131436826e-15,-0.0383814856487
44,ClNa,0.574,-5.2231,-8.7,-0.7157,2.6,0.68,0.76,-3.9708,-0.718,6.57,1.71,-13.9018,-2.819,1.67,/parsed/prod-022/FhiAimsParser2.0.0-2-gf9335c4/RWApItBGtGUDsfMVlHKqrjUQ4rShT/PCeh79N53GyBSPmZQQJ97G0eAHaDT.json,0,-1.3579045443e-15,-0.1329919953
45,ClRb,0.574,-4.2889,-8.7,-0.5904,3.2,0.68,0.76,-3.9708,-0.705,1.96,2.24,-13.9018,-2.36,1.67,/parsed/prod-022/FhiAimsParser2.0.0-2-gf9335c4/RWApItBGtGUDsfMVlHKqrjUQ4rShT/PbVMALFnpGdoEyabKhI_3DtbUX6W7.json,0,-7.54463270389e-15,-0.160503566407
46,CsF,1.251,-4.0062,-11.294,-0.5696,3.16,0.41,0.37,-4.2735,-0.548,1.97,2.46,-19.4043,-2.22,1.43,/parsed/prod-022/FhiAimsParser2.0.0-2-gf9335c4/RWApItBGtGUDsfMVlHKqrjUQ4rShT/PME2sPwrfVW7U0veuObWai6ryPqou.json,0,-1.7455857045e-14,-0.108263326991
47,CsI,0.213,-4.0062,-7.236,-0.5696,3.16,0.9,1.07,-3.5135,-0.548,1.97,2.46,-11.2571,-2.22,1.72,/parsed/prod-022/FhiAimsParser2.0.0-2-gf9335c4/RWApItBGtGUDsfMVlHKqrjUQ4rShT/PmmsPJ6ouZjFnoIdGfis_3AHs9clP.json,0,-3.297474743e-14,-0.16238748699
48,CuF,1.251,-8.3888,-11.294,-1.6385,1.68,0.41,0.37,-4.2735,-0.641,2.58,1.2,-19.4043,-4.856,1.43,/parsed/prod-022/FhiAimsParser2.0.0-2-gf9335c4/RWApItBGtGUDsfMVlHKqrjUQ4rShT/PcyDh6nCotXyohIHh5k1dx5L5D5X9.json,0,-3.83560463359e-15,-0.0170222736486
49,CuI,0.213,-8.3888,-7.236,-1.6385,1.68,0.9,1.07,-3.5135,-0.641,2.58,1.2,-11.2571,-4.856,1.72,/parsed/prod-022/FhiAimsParser2.0.0-2-gf9335c4/RWApItBGtGUDsfMVlHKqrjUQ4rShT/P3hSpXydSB6z3p79OEIOQK6llto1K.json,0,-1.93545861078e-14,0.20467459899
50,FK,1.251,-4.4332,-11.294,-0.6213,2.44,0.41,0.37,-4.2735,-0.697,1.79,2.13,-19.4043,-2.426,1.43,/parsed/prod-022/FhiAimsParser2.0.0-2-gf9335c4/RWApItBGtGUDsfMVlHKqrjUQ4rShT/PKfJHS4WQGppgde2dACUjMuVoL2sB.json,0,-1.52892159205e-15,-0.146406109749
51,FLi,1.251,-5.3291,-11.294,-0.6981,2.0,0.41,0.37,-4.2735,-0.978,6.93,1.65,-19.4043,-2.874,1.43,/parsed/prod-022/FhiAimsParser2.0.0-2-gf9335c4/RWApItBGtGUDsfMVlHKqrjUQ4rShT/P7kHL_6prXXdx5_MzMVmwsmStNoc0.json,0,-2.3315551269e-16,-0.0594883214349
52,FNa,1.251,-5.2231,-11.294,-0.7157,2.6,0.41,0.37,-4.2735,-0.718,6.57,1.71,-19.4043,-2.819,1.43,/parsed/prod-022/FhiAimsParser2.0.0-2-gf9335c4/RWApItBGtGUDsfMVlHKqrjUQ4rShT/P9Yuhn2S6hqpJ0cf9E9uw5G5bJlzV.json,0,-5.69708928726e-16,-0.14578814899
53,FRb,1.251,-4.2889,-11.294,-0.5904,3.2,0.41,0.37,-4.2735,-0.705,1.96,2.24,-19.4043,-2.36,1.43,/parsed/prod-022/FhiAimsParser2.0.0-2-gf9335c4/RWApItBGtGUDsfMVlHKqrjUQ4rShT/P_DFu-YobOdcOb1mfdI22vrtaSQAh.json,0,-6.7564083716e-15,-0.135595787404
54,GaN,3.057,-5.8182,-7.239,-0.1081,1.33,0.54,0.51,-1.8675,0.13,2.16,0.99,-13.5852,-2.732,1.54,/parsed/prod-022/FhiAimsParser2.0.0-2-gf9335c4/RWApItBGtGUDsfMVlHKqrjUQ4rShT/PNXyczNslCGZT642R9ZFYGvidFvua.json,0,-4.37288440839e-15,0.4334452724
55,GaP,0.183,-5.8182,-5.596,-0.1081,1.33,0.83,0.97,-1.92,0.13,2.16,0.99,-9.7506,-2.732,1.77,/parsed/prod-022/FhiAimsParser2.0.0-2-gf9335c4/RWApItBGtGUDsfMVlHKqrjUQ4rShT/P39GmzBY478BzuXrZM-0i2Z-njyb9.json,0,-4.99858355851e-15,0.348751824552
56,GaSb,0.105,-5.8182,-4.991,-0.1081,1.33,1.0,1.23,-1.8467,0.13,2.16,0.99,-8.4683,-2.732,2.06,/parsed/prod-022/FhiAimsParser2.0.0-2-gf9335c4/RWApItBGtGUDsfMVlHKqrjUQ4rShT/PV--hzM8rvSS8a6LZBuuW6IPbqvY6.json,0,-1.85695698546e-14,0.15462529699
57,Ge2,2.175,-7.567,-4.046,-0.949,1.16,0.92,1.16,-0.949,2.175,2.37,0.92,-7.567,-4.046,2.37,/parsed/prod-022/FhiAimsParser2.0.0-2-gf9335c4/RWApItBGtGUDsfMVlHKqrjUQ4rShT/P81vIYtJtOEx4n865B86z-KvUb6hA.json,0,-9.19004715954e-15,0.200852541497
58,GeSi,0.44,-7.567,-4.163,-0.949,1.16,0.94,1.13,-0.993,2.175,2.37,0.92,-7.7577,-4.046,1.89,/parsed/prod-022/FhiAimsParser2.0.0-2-gf9335c4/RWApItBGtGUDsfMVlHKqrjUQ4rShT/PC8N-y0PPPHeAwhkYGyYYI9H1UUHy.json,0,-5.22581274001e-15,0.263210190405
59,GeSn,2.175,-7.0428,-4.046,-1.0392,1.34,0.92,1.16,-0.949,0.008,2.03,1.06,-7.567,-3.866,2.37,/parsed/prod-022/FhiAimsParser2.0.0-2-gf9335c4/RWApItBGtGUDsfMVlHKqrjUQ4rShT/PoWlbXJuGJ4-22DclM15L_g44LN3P.json,0,-1.82307727107e-14,0.0816633665087
60,IK,0.213,-4.4332,-7.236,-0.6213,2.44,0.9,1.07,-3.5135,-0.697,1.79,2.13,-11.2571,-2.426,1.72,/parsed/prod-022/FhiAimsParser2.0.0-2-gf9335c4/RWApItBGtGUDsfMVlHKqrjUQ4rShT/P36pL30yblwhze_vHZYZ_cybqeH4V.json,0,-1.70477924324e-14,-0.167039157997
61,ILi,0.213,-5.3291,-7.236,-0.6981,2.0,0.9,1.07,-3.5135,-0.978,6.93,1.65,-11.2571,-2.874,1.72,/parsed/prod-022/FhiAimsParser2.0.0-2-gf9335c4/RWApItBGtGUDsfMVlHKqrjUQ4rShT/Phw2RDlr8RJrjY8nb2PfCE6Bf--N0.json,0,-1.57519447689e-14,-0.0216609380084
62,INa,0.213,-5.2231,-7.236,-0.7157,2.6,0.9,1.07,-3.5135,-0.718,6.57,1.71,-11.2571,-2.819,1.72,/parsed/prod-022/FhiAimsParser2.0.0-2-gf9335c4/RWApItBGtGUDsfMVlHKqrjUQ4rShT/PB0yzgD_PWA0LKTKGJ8ZZuD33YEUG.json,0,-1.60885478546e-14,-0.114838231007
63,IRb,0.213,-4.2889,-7.236,-0.5904,3.2,0.9,1.07,-3.5135,-0.705,1.96,2.24,-11.2571,-2.36,1.72,/parsed/prod-022/FhiAimsParser2.0.0-2-gf9335c4/RWApItBGtGUDsfMVlHKqrjUQ4rShT/PmenrFglDQWoTWLNvVVobyI3dmkIe.json,0,-2.22752903846e-14,-0.16720145499
64,InN,3.057,-5.5374,-7.239,-0.2563,1.5,0.54,0.51,-1.8675,0.368,3.11,1.13,-13.5852,-2.697,1.54,/parsed/prod-022/FhiAimsParser2.0.0-2-gf9335c4/RWApItBGtGUDsfMVlHKqrjUQ4rShT/P2R4Ds9DFm8USF_AgHtQnWK1TkQiR.json,0,-1.30947289358e-14,0.153720304502
65,InP,0.183,-5.5374,-5.596,-0.2563,1.5,0.83,0.97,-1.92,0.368,3.11,1.13,-9.7506,-2.697,1.77,/parsed/prod-022/FhiAimsParser2.0.0-2-gf9335c4/RWApItBGtGUDsfMVlHKqrjUQ4rShT/Pkole11VWAOiu91qHeq6lOzIM2Y1Y.json,0,-1.37204947057e-14,0.179193300997
66,InSb,0.105,-5.5374,-4.991,-0.2563,1.5,1.0,1.23,-1.8467,0.368,3.11,1.13,-8.4683,-2.697,2.06,/parsed/prod-022/FhiAimsParser2.0.0-2-gf9335c4/RWApItBGtGUDsfMVlHKqrjUQ4rShT/PxrF4NRKjX9jsmVIocs7uQuLwD_cS.json,0,-2.72915062153e-14,0.0780598790172
67,MgO,2.541,-8.0371,-9.197,0.6925,1.9,0.46,0.43,-3.0059,-1.358,3.17,1.33,-16.4332,-4.782,2.22,/parsed/prod-022/FhiAimsParser2.0.0-2-gf9335c4/RWApItBGtGUDsfMVlHKqrjUQ4rShT/PsmYUa8-6qr40jG7XJhUIynL1Ue8b.json,0,-5.98745390728e-16,-0.232274742165
68,MgS,0.642,-8.0371,-7.106,0.6925,1.9,0.74,0.85,-2.8449,-1.358,3.17,1.33,-11.7951,-4.782,2.37,/parsed/prod-022/FhiAimsParser2.0.0-2-gf9335c4/RWApItBGtGUDsfMVlHKqrjUQ4rShT/Pzl8jOEFAC45VXxnxMJ7_nf2xS6v2.json,0,-1.30442708375e-15,-0.0866995116499
69,MgSe,1.316,-8.0371,-6.654,0.6925,1.9,0.8,0.95,-2.751,-1.358,3.17,1.33,-10.946,-4.782,2.18,/parsed/prod-022/FhiAimsParser2.0.0-2-gf9335c4/RWApItBGtGUDsfMVlHKqrjUQ4rShT/PQESlzgesuFywpq09x-vZ0gikcjPf.json,0,-5.7594950245e-15,-0.0553018062098
70,MgTe,0.099,-8.0371,-6.109,0.6925,1.9,0.94,1.14,-2.666,-1.358,3.17,1.33,-9.8667,-4.782,1.83,/parsed/prod-022/FhiAimsParser2.0.0-2-gf9335c4/RWApItBGtGUDsfMVlHKqrjUQ4rShT/PzkPWSKWCQ14F1io7eGkOhK7h0O_Q.json,0,-1.54506287428e-14,-0.00459128699985
71,OSr,2.541,-6.0316,-9.197,0.3431,2.55,0.46,0.43,-3.0059,-1.379,1.2,1.91,-16.4332,-3.641,2.22,/parsed/prod-022/FhiAimsParser2.0.0-2-gf9335c4/RWApItBGtGUDsfMVlHKqrjUQ4rShT/PAlWHa4oJtvotPEJZkbrlNC_sn0h2.json,0,-7.14095929723e-15,-0.2203066401
72,OZn,2.541,-10.1355,-9.197,1.0807,1.55,0.46,0.43,-3.0059,-1.194,2.25,1.1,-16.4332,-6.217,2.22,/parsed/prod-022/FhiAimsParser2.0.0-2-gf9335c4/RWApItBGtGUDsfMVlHKqrjUQ4rShT/PEhAEeu8aSPA_d3_dHCjTlAi1y09j.json,0,-4.09210515805e-15,0.101968184603
73,SSr,0.642,-6.0316,-7.106,0.3431,2.55,0.74,0.85,-2.8449,-1.379,1.2,1.91,-11.7951,-3.641,2.37,/parsed/prod-022/FhiAimsParser2.0.0-2-gf9335c4/RWApItBGtGUDsfMVlHKqrjUQ4rShT/PKSpxMXqdSstTt6Es26kroYBYENnq.json,0,-7.8467619903e-15,-0.368434158242
